청주 지역공급량(Gcal),datetime,기온(°C),풍향(16방위),풍속(m/s),강수량(mm),상대습도(%),일사(MJ/m2),체감온도(°C),month,heat_stress,cold_stress,is_cold,is_weekend,is_holiday
144,2017-01-01 00:00:00,2.4,290,0.5,0.0,78.4865,0.0,3.1658,1,0.0,0.0,True,True,True
135,2017-01-01 01:00:00,2.2,0,0.2,0.0,78.2156,0.0,4.5271,1,0.0,0.0,True,True,True
136,2017-01-01 02:00:00,1.9,340,0.5,0.0,79.9075,0.0,2.6373,1,0.0,0.0,True,True,True
132,2017-01-01 03:00:00,1.1,230,0.5,0.0,83.113,0.0,1.7916,1,0.0,0.0,True,True,True
118,2017-01-01 04:00:00,1.0,0,0.0,0.0,83.7126,0.0,13.7415,1,0.0,0.0,True,True,True
130,2017-01-01 05:00:00,0.6,320,0.5,0.0,87.7289,0.0,1.2631,1,0.0,0.0,True,True,True
121,2017-01-01 06:00:00,-0.7,360,0.7,0.0,89.5255,0.0,-0.8189,1,0.0,0.0,True,True,True
133,2017-01-01 07:00:00,-1.0,340,0.9,0.0,89.7492,0.0,-1.703,1,0.0,0.0,True,True,True
133,2017-01-01 08:00:00,-0.2,180,0.7,0.0,89.6429,0.0,-0.2783,1,0.0,0.0,True,True,True
140,2017-01-01 09:00:00,0.5,200,0.5,0.0,86.7864,0.13,1.1574,1,0.0,0.0,True,True,True
130,2017-01-01 10:00:00,1.9,320,0.8,0.0,82.7614,0.59,1.7264,1,0.0,0.0,True,True,True
114,2017-01-01 11:00:00,2.1,340,0.9,0.0,81.5879,0.74,1.7072,1,0.0,0.0,True,True,True
94,2017-01-01 12:00:00,4.9,0,0.4,0.0,65.813,1.15,6.1718,1,0.0,0.0,True,True,True
82,2017-01-01 13:00:00,6.5,200,0.9,0.0,62.0078,1.23,6.5474,1,0.0,0.0,True,True,True
80,2017-01-01 14:00:00,7.8,180,1.5,0.0,55.7798,1.27,7.1266,1,0.0,0.6733587383754873,True,True,True
72,2017-01-01 15:00:00,8.4,250,1.1,0.0,52.6435,1.09,8.3209,1,0.0,0.0,True,True,True
77,2017-01-01 16:00:00,7.9,320,0.7,0.0,56.3407,0.56,8.4793,1,0.0,0.0,True,True,True
96,2017-01-01 17:00:00,7.5,70,0.6,0.0,58.8633,0.15,8.284,1,0.0,0.0,True,True,True
122,2017-01-01 18:00:00,6.7,0,0.0,0.0,62.1795,0.02,17.284,1,0.0,0.0,True,True,True
143,2017-01-01 19:00:00,5.2,70,0.6,0.0,67.8441,0.0,5.823,1,0.0,0.0,True,True,True
152,2017-01-01 20:00:00,3.8,360,1.3,0.0,73.578,0.0,2.8558,1,0.0,0.9441777286591542,True,True,True
158,2017-01-01 21:00:00,3.4,320,0.8,0.0,74.399,0.0,3.363,1,0.0,0.0,True,True,True
157,2017-01-01 22:00:00,3.5,200,0.5,0.0,76.4234,0.0,4.3286,1,0.0,0.0,True,True,True
149,2017-01-01 23:00:00,2.7,270,0.6,0.0,79.5266,0.0,3.148,1,0.0,0.0,True,True,True
135,2017-01-02 00:00:00,3.0,160,1.3,0.0,77.8528,0.0,1.9526,1,0.0,1.0474211842501528,True,False,False
125,2017-01-02 01:00:00,2.8,180,0.5,0.0,76.2868,0.0,3.5887,1,0.0,0.0,True,False,False
118,2017-01-02 02:00:00,2.0,0,0.4,0.0,83.5895,0.0,3.1506,1,0.0,0.0,True,False,False
109,2017-01-02 03:00:00,1.3,270,0.9,0.0,81.9269,0.0,0.8271,1,0.0,0.0,True,False,False
113,2017-01-02 04:00:00,1.3,110,0.8,0.0,81.9269,0.0,1.0717,1,0.0,0.0,True,False,False
113,2017-01-02 05:00:00,2.0,0,0.3,0.0,80.756,0.0,3.655,1,0.0,0.0,True,False,False
111,2017-01-02 06:00:00,2.3,0,0.4,0.0,80.4338,0.0,3.4631,1,0.0,0.0,True,False,False
