청주 지역공급량(Gcal),datetime,기온(°C),풍향(16방위),풍속(m/s),강수량(mm),상대습도(%),일사(MJ/m2),체감온도(°C)
144,2017-01-01 0:00,2.4,290,0.5,0,78.4865,0,3.1658
135,2017-01-01 1:00,2.2,0,0.2,0,78.2156,0,4.5271
136,2017-01-01 2:00,1.9,340,0.5,0,79.9075,0,2.6373
132,2017-01-01 3:00,1.1,230,0.5,0,83.113,0,1.7916
118,2017-01-01 4:00,1,0,0,0,83.7126,0,13.7415
130,2017-01-01 5:00,0.6,320,0.5,0,87.7289,0,1.2631
121,2017-01-01 6:00,-0.7,360,0.7,0,89.5255,0,-0.8189
133,2017-01-01 7:00,-1,340,0.9,0,89.7492,0,-1.703
133,2017-01-01 8:00,-0.2,180,0.7,0,89.6429,0,-0.2783
140,2017-01-01 9:00,0.5,200,0.5,0,86.7864,0.13,1.1574
130,2017-01-01 10:00,1.9,320,0.8,0,82.7614,0.59,1.7264
114,2017-01-01 11:00,2.1,340,0.9,0,81.5879,0.74,1.7072
94,2017-01-01 12:00,4.9,0,0.4,0,65.813,1.15,6.1718
82,2017-01-01 13:00,6.5,200,0.9,0,62.0078,1.23,6.5474
80,2017-01-01 14:00,7.8,180,1.5,0,55.7798,1.27,7.1266
72,2017-01-01 15:00,8.4,250,1.1,0,52.6435,1.09,8.3209
77,2017-01-01 16:00,7.9,320,0.7,0,56.3407,0.56,8.4793
96,2017-01-01 17:00,7.5,70,0.6,0,58.8633,0.15,8.284
122,2017-01-01 18:00,6.7,0,0,0,62.1795,0.02,17.284
143,2017-01-01 19:00,5.2,70,0.6,0,67.8441,0,5.823
152,2017-01-01 20:00,3.8,360,1.3,0,73.578,0,2.8558
158,2017-01-01 21:00,3.4,320,0.8,0,74.399,0,3.363
157,2017-01-01 22:00,3.5,200,0.5,0,76.4234,0,4.3286
149,2017-01-01 23:00,2.7,270,0.6,0,79.5266,0,3.148
135,2017-01-02 0:00,3,160,1.3,0,77.8528,0,1.9526
125,2017-01-02 1:00,2.8,180,0.5,0,76.2868,0,3.5887
118,2017-01-02 2:00,2,0,0.4,0,83.5895,0,3.1506
109,2017-01-02 3:00,1.3,270,0.9,0,81.9269,0,0.8271
113,2017-01-02 4:00,1.3,110,0.8,0,81.9269,0,1.0717
